,Rank,State,Life_Expectancy_at_Birth,Avg_Life_Expectancy,Male,Female,Literacy_Rate,Undernutrition,Pollution_SO2,Pollution_NO2,Pollution_PM10,Avg_tobacco_alcohol(%),Women_tobacco_alcohol(%),Men_tobacco_alcohol (%),Rural+Urban_Person,Rural+Urban_Male,Rural+Urban_Female
0,13,Andhra Pradesh,68.5,70.25,68.4,72.1,67.66,32.5,7,23,73,14.05,2.1,26.0,35,30,43
1,21,Assam,63.9,66.2,65.6,66.8,73.18,36.4,8,16,81,42.5,19.25,65.95,64,43,149
2,14,Bihar,68.1,69.9,69.6,70.2,63.82,55.9,4,32,212,28.33,3.82,52.85,70,61,119
3,18,Chhattisgarh,64.8,63.6,61.6,65.7,71.04,47.1,10,24,103,39.5,21.07,58.05,28,32,6
4,3,Delhi,73.2,72.85,71.8,73.9,86.34,26.1,7,66,278,17.84,2.15,33.53,52,40,138
5,11,Gujarat,68.7,69.5,67.4,71.8,79.31,44.6,14,24,98,30.47,7.5,53.45,12,10,18
6,12,Haryana,68.6,69.6,68.0,71.4,76.64,39.6,9,23,101,20.33,2.2,38.7,48,43,80
7,5,Himachal Pradesh,71.6,72.3,69.4,75.5,83.78,36.5,3,13,81,20.02,0.75,39.3,75,69,85
8,2,Jammu & Kashmir,73.6,73.5,71.6,76.2,68.74,25.6,4,17,131,22.45,3.25,41.34,105,80,242
9,16,Jharkhand,66.6,66.15,65.5,66.8,67.63,56.5,22,38,174,28.9,6.58,51.27,74,66,120
10,10,Karnataka,68.8,71.25,69.0,73.5,75.6,37.6,4,18,70,20.57,4.27,36.87,18,15,28
11,1,Kerala,74.9,75.1,72.2,79.9,93.91,22.9,4,14,45,15.55,1.025,30.07,118,47,270
12,19,Madhya Pradesh,64.2,66.9,66.5,67.3,70.63,60.0,11,19,82,36.06,11.25,60.87,29,29,29
13,7,Maharashtra,71.6,72.2,70.8,73.7,82.91,37.0,19,43,107,23.37,6.975,39.5,28,27,30
14,17,Odisha,65.8,67.95,66.3,69.6,73.45,40.7,6,19,90,38.3,19.4,57.2,60,50,100
15,6,Punjab,71.6,72.5,71.0,74.2,76.68,24.9,8,19,122,11.48,0.275,22.7,58,40,190
16,15,Rajasthan,67.7,70.25,68.6,71.9,67.06,39.9,8,30,169,28.5,6.7,49.8,65,50,122
17,8,Tamil Nadu,70.6,71.4,68.5,74.8,80.33,29.8,14,22,175,18.08,2.375,33.8,36,28,56
18,20,Uttar Pradesh,64.1,68.35,67.5,69.2,69.74,42.4,12,30,190,31.8,8.45,55.15,63,54,195
19,4,Uttarakhand,71.7,71.5,68.5,74.8,79.63,38.0,25,28,148,24.5,3.25,45.75,80,65,132
20,9,West Bengal,70.2,70.8,69.8,71.9,77.08,38.7,10,46,141,36.02,10.25,61.8,52,44,97
